Gender;Weight;Body Shape Index;Waist;Hips;Bust/Chest;Height
Male;91;2;98.22;115.68;95.44;198.12
Male;78;0;93.92;66.53;77.88;195.04
Male;46;1;115.7;73.29;98.72;189.49
Male;92;0;115.35;67.74;119.97;185.41
Male;68;0;67.14;70.88;106.9;159.59
Male;100;3;119.41;72.6;90.64;188.4
Male;82;4;78.7;90.24;108.08;151.31
Male;65;0;112.71;74.0;121.63;195.72
Male;73;3;102.0;97.98;80.79;174.74
Male;48;0;108.64;86.87;99.37;164.95
Male;69;2;91.99;109.86;89.15;196.07
Male;73;0;84.04;83.45;103.15;152.93
Male;97;1;97.0;76.4;102.17;173.06
Male;80;3;108.19;113.49;101.23;171.02
Male;71;4;121.25;92.36;92.59;188.27
Male;64;0;72.27;91.25;111.04;153.18
Male;66;4;121.21;91.34;106.62;153.03
Male;73;0;113.96;79.26;78.0;198.12
Male;84;1;84.26;66.04;122.88;153.98
Male;76;1;109.67;73.49;111.52;191.0
Male;42;3;118.73;90.38;98.89;158.2
Male;95;3;106.75;68.9;111.59;180.32
Male;98;1;116.88;73.76;119.64;188.47
Male;71;4;108.44;66.16;106.12;192.43
Male;104;1;121.92;104.04;107.28;163.93
Male;43;3;113.39;101.79;106.35;174.45
Male;73;1;112.57;115.68;102.2;193.68
Male;78;3;111.74;110.73;105.79;183.49
Male;68;0;111.13;114.54;110.01;157.86
Male;76;0;86.61;79.03;127.65;155.2
Male;62;1;77.27;123.36;93.95;189.41
Male;56;0;99.26;76.05;98.83;183.12
Male;90;3;98.79;89.34;102.08;161.29
Male;56;0;81.54;96.15;104.73;164.05
Male;79;1;99.36;110.14;102.72;182.73
Male;85;0;82.19;121.12;101.78;180.96
Male;70;1;76.76;109.44;76.2;188.67
Male;42;4;76.87;78.61;104.92;159.47
Male;75;2;83.97;108.63;121.92;170.33
Male;86;2;118.64;89.06;107.81;189.36
Male;48;0;80.56;80.31;123.28;190.04
Male;87;1;117.54;117.92;119.06;193.28
Male;77;1;79.45;68.35;106.93;198.12
Male;84;2;121.92;70.16;105.31;191.93
Male;71;0;109.53;104.97;92.97;157.43
Male;85;1;67.66;113.48;111.42;185.07
Male;42;0;121.92;78.47;117.72;178.72
Male;70;0;121.82;72.28;125.8;177.13
Male;79;4;79.61;77.67;100.21;156.11
Male;96;1;118.7;69.56;106.9;185.4
Male;85;1;96.13;77.81;115.87;196.93
Male;48;0;100.51;111.07;131.63;154.61
Male;64;1;110.96;91.83;89.79;191.34
Male;81;0;114.29;110.25;103.27;194.76
Male;95;1;119.23;94.08;90.15;190.56
Male;70;2;109.21;86.6;115.49;187.35
Male;91;3;92.07;101.37;105.05;155.21
Male;71;3;109.77;99.17;78.33;198.12
Male;76;0;77.94;96.33;98.87;193.04
Male;46;1;83.14;106.15;108.17;195.01
Male;82;2;111.34;69.45;101.86;164.14
Male;91;4;86.56;123.16;99.42;195.66
Male;42;4;84.02;69.86;103.79;158.0
Male;85;2;77.38;81.58;130.32;182.36
Male;69;2;90.25;121.95;104.4;195.79
Male;70;0;116.42;74.85;121.79;168.92
Male;93;3;118.21;89.59;76.2;191.75
Male;69;3;89.73;104.75;83.56;186.42
Male;47;0;84.02;66.04;102.4;197.86
Male;76;3;121.92;67.81;132.08;196.51
Male;64;1;107.17;66.04;111.6;195.37
Male;87;4;105.86;66.04;125.15;167.7
Male;77;3;107.42;107.98;110.99;171.93
Male;75;4;88.4;95.34;100.67;197.65
Male;72;0;80.18;90.28;104.29;198.12
Male;75;3;115.33;74.68;124.02;179.09
Male;48;4;90.76;66.04;132.0;193.38
Male;90;1;111.82;82.09;93.62;187.66
Male;94;0;80.11;88.25;107.6;198.12
Male;66;2;84.35;96.84;99.02;154.81
Male;42;1;84.4;78.98;103.02;191.92
Male;79;1;119.32;88.72;87.88;195.04
Male;78;3;80.31;90.76;95.61;189.53
Male;70;3;100.09;109.67;96.63;198.12
Male;73;1;79.15;91.06;101.6;188.71
Male;70;1;118.13;87.35;107.48;165.28
Male;68;0;104.14;101.46;121.49;195.93
Male;50;4;91.61;118.64;103.93;176.67
Male;69;1;70.26;99.6;77.39;194.76
Male;56;1;94.2;89.4;100.89;184.38
Male;66;4;105.4;66.04;103.13;197.63
Male;100;2;111.38;66.04;127.54;195.92
Male;42;2;94.06;73.58;96.05;189.59
Male;86;4;76.66;75.03;107.48;194.06
Male;86;2;106.79;74.71;90.14;188.81
Male;46;0;108.78;96.06;109.3;190.46
Male;72;1;80.28;93.83;111.4;150.5
Male;97;1;91.16;66.04;95.84;195.23
Male;98;0;96.55;95.57;121.93;148.67
Male;92;4;107.58;69.43;104.37;177.97
Male;68;1;109.86;103.21;108.16;195.23
Male;77;1;117.4;112.38;93.32;197.73
Male;54;1;117.6;78.48;105.87;198.12
Male;77;1;95.04;89.32;108.08;186.77
Male;77;1;114.9;99.21;123.6;196.67
Male;58;0;121.92;113.7;100.61;158.38
Male;78;0;121.92;92.83;104.83;198.12
Male;72;3;110.67;80.41;100.56;195.61
Male;77;0;80.0;95.09;95.33;182.49
Male;68;1;103.3;66.04;96.18;182.76
Male;96;0;121.56;99.01;92.67;198.12
Male;83;0;111.79;81.32;106.97;194.57
Male;73;4;77.34;77.78;78.91;198.12
Male;68;1;109.94;79.85;108.75;183.85
Male;99;0;105.9;103.05;106.38;158.12
Male;64;0;105.53;84.01;102.82;177.47
Male;63;0;87.55;84.63;88.09;181.52
Male;65;0;102.78;86.87;93.69;198.12
Male;77;1;98.97;111.6;98.01;198.12
Male;67;3;85.28;83.03;113.24;192.36
Male;62;1;113.85;93.27;87.7;190.6
Male;94;3;95.26;118.56;109.37;187.79
Male;54;4;101.86;84.5;118.43;198.12
Male;57;4;76.14;73.55;91.17;198.12
Male;87;3;104.48;88.25;84.14;160.85
Male;74;0;79.58;66.04;108.87;195.58
Male;96;3;102.49;86.12;127.0;172.51
Male;54;2;112.16;66.04;127.42;198.12
Male;62;3;81.69;108.87;102.48;191.58
Male;91;4;121.92;76.13;118.36;187.22
Male;65;3;90.98;96.53;94.39;189.76
Male;53;0;107.48;106.82;130.42;153.26
Male;75;1;75.24;91.35;89.72;173.09
Male;73;1;105.82;102.76;94.17;183.27
Male;73;1;89.75;101.73;97.99;198.12
Male;91;3;121.92;66.04;103.39;155.75
Male;46;3;101.4;70.77;107.46;190.63
Male;81;1;100.78;121.48;92.65;187.59
Male;71;3;78.35;72.61;125.75;173.21
Male;57;0;108.84;76.21;126.23;173.47
Male;68;1;103.92;92.25;79.31;198.12
